# iozone -a -b output.xlsx
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Tue Mar 11 12:25:41 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4    524487   7940539  12902017  12310336   7100397   6421025   5860307    7100397    7100397   6421025   5860307   9006179  12310336
              64       8   4897948  10821524  22737791  22737791  15972885  10821524   9318832   12902017   12902017  10821524  12902017  15972885  15972885
              64      16   6421025  12902017  22737791  22737791  20962191  12902017  12902017   15972885   34389688   5389653  12902017  15972885  20962191
              64      32   7100397  12902017  30484297  30484297  34389688  15972885  12902017   20962191   30484297   3541098  34389688  15972885  15972885
              64      64   6421025  20962191  55857768  64000000  30484297  20962191  15972885   15972885   15972885  15972885  15972885  20962191  30484297
             128       4   1598754   9795896  12842051  12842051   8548124   7582312   7476717    8548124    8036304   8548124  10779307  11720614  12842051
             128       8   6406138  11720614  18637664  18012359  16365173  11720614   9977956   12842051   15881078   4934216  10567140  14200794  15881078
             128      16   7476717  14200794  31945770  21643049  18012359  10779307  14200794   14200794   20804356  12842051  14200794  15881078  18012359
             128      32   7582312  15881078  24620673  25804035  25804035  15881078  14200794   14200794   31945770  14200794  18012359  25804035  18637664
             128      64   7917784  25804035  31945770  31945770  21643049  14586625  15881078   16365173   21643049   2511022  25804035  18012359   8548124
