iozone -a -b output.xlsx
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Tue Mar 11 12:44:22 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4    877797   5283570  12310336  12902017   8182586   5389653   5283570    5389653    7940539   5860307   7100397   9006179   9006179
              64       8   4643754  10821524  20962191  20962191  15972885   7100397  10402178   10821524   10821524   8182586  12902017  12902017  15972885
              64      16   6421025  10821524  30484297  30484297  20962191  15972885  10402178   12902017   15972885  10821524  12902017  15972885  22737791
              64      32   7293312  12902017  34389688  34389688  20962191  10821524  15972885   15972885   20962191  12902017  20962191  22737791  20962191
              64      64   7100397  12902017  64000000  64000000  30484297  15972885  12902017   12902017   12902017  12902017  15972885  15972885  20962191
             128       4   3199360   9129573  12842051  12842051   8548124   7082197   7917784    8548124    8036304   9129573   7917784  10779307  11720614
             128       8   6727225  14200794  18012359  20804356  14200794  10567140  10567140   11470204   15881078  11720614  10779307  14200794  14200794
             128      16   7582312  15881078  25804035  20804356  15881078  11720614  12542043   15881078   21643049  14200794  14200794  15881078  18637664
             128      32   7476717  16365173  25804035  25804035  21643049  14200794  14200794   18637664   25804035  14200794  18012359  18012359  18637664
             128      64   7582312  18637664  31945770  25804035  31945770  14200794  21643049   18637664   21643049   9129573  31945770  21643049  18012359
             128     128   7917784  18012359  33966926  31945770  21643049  15881078  16365173   14200794   18012359  15881078  18012359  18637664  25804035
             256       4   4117018   9434868  12812277  12090911   6891544   6891544   8024634    8534922    8208677   8815202   8815202  11207494  12228612
             256       8   7314033  13454450  17096249  18259146  14953435   9868433   5022044   12812277   12812277  11207494  11569783  16072608  16072608
             256      16   8208677  16072608  21558614  21558614  17096249  12812277  14953435   17096249   21558614  13454450  14164395  19955913  21134280
             256      32   8534922  15835569  23441229  25684103  19591792  14953435  17096249   21558614   25084087  14353744  14164395  19591792  21134280
             256      64   8815202  16828306  23441229  25684103  21558614  17096249  18259146   19591792   25684103  17096249  18259146  19591792  18259146
             256     128   8271916  18575017  11091721  28401588  28401588  17096249  18259146   19955913   25684103  10245071  25684103  19955913  19955913
             256     256   8888172  18259146  31762157  31762157  23441229  16828306  18259146   19591792   19955913  17096249  17096249  21558614  23441229
             512       4   5164632   9638369  12427157  12427157   9145790   5886650   8265729    8665997    8394979   8992598   8992598  11877300  11877300
             512       8   7647578  12797441  17776344  17776344  12797441  10434519  12146009   13109944   12499490  11374040  11943357  16543832  17069844
             512      16   8665997  16049269  20490142  21516644  20490142  12797441  16049269   18385093   16543832  13783088  14628067  20490142  20490142
             512      32   9145790  17630404  15930214  23139567  25624554  15930214  18869737   22183443   26908901  14628067  11877300  21303197  23139567
             512      64   8234036  18869737  24457224  24181823  26908901  17069844  20490142   23391616   25624554  16543832  12215097  22183443  19037014
             512     128   8265729  14628067  22183443  24457224  20490142  16417355  19037014   19736867   25624554  15471149  17630404  22414989  23391616
             512     256   9145790  18229030  18869737  27250360  28328790  17630404  19736867   18869737   23139567  14240069  24457224  22183443  22183443
             512     512   9304292  18229030  30329249  30329249  24457224  18229030  21303197   18385093   21303197  18869737  19037014  23391616  24457224
            1024       4   4949226   8914314  12492426  12790037   8000971   7356843   8525047    8662601    8391792   9220512   8593274  12492426  12492426
            1024       8   8061038  13305116  18689559  18608584  13472053  10429596  12944224   13142265   13305116  12037272  12208350  17985196  17985196
            1024      16   8970167  16219316  22276143  22748081  20088179  13472053  17331995   18608584   17688906  13998981  14422045  22276143  21823389
            1024      32   9485232  18608584  25594883  26219889  25594883  15743686  23886714   22276143   22748081  14183905  15080341  24854315  25594883
            1024      64   9381637  18936769  24430194  25594883  22748081  17616353  21282686   22748081   27744245  15977962  16531459  23754601  23754601
            1024     128   9765601  18936769  24854315  25594883  27744245  18608584  23886714   22748081   26876184  15743686  17331995  24998980  24854315
            1024     256   9832672  19363647  26219889  27045423  28480139  18936769  23240448   22748081   24998980  17985196  19629138  24292018  24430194
            1024     512   9832672  19719260  27045423  26876184  26219889  19276739  20471166   22276143   28480139  15295157  27566176  25594883  26380939
            1024    1024   9064828  19719260  29256135  29256135  24998980  19363647  24292018   18936769   24430194  19719260  19719260  24854315  25748325
            2048       4   5306340  10037248  11900619  13138359   8987113   7419150   8600205    8431376    8431376   9483197   8793903  12561952  12882215
            2048       8   7761014  13836752  17940335  17501701  13384011  11440955  13467949   13198923   13219235  12118884  11642543  18284015  18480699
            2048      16   8678404  16399085  22979678  23546602  20079056  14321195  17828628   18600754   18091473  14539356  14514788  22979678  23546602
            2048      32   9841749  18970464  26944106  27637635  25580074  16001943  22498183   22498183   19355169  14840791  15289867  26610232  26944106
            2048      64   9389900  19139540  25353571  26204348  26610232  18091473  22979678   23807646   23807646  16122077  16525279  24984852  25278959
            2048     128   9349021  17221003  25966707  26610232  27637635  19893055  24074544   23807646   28089517  15048789  16621207  25278959  22979678
            2048     256  10131961  16783585  26610232  24984852  25966707  19710468  25278959   24142206   28461804  16949167  17940335  25888448  26284531
            2048     512  10240672  20316506  27286464  27726845  29640323  19710468  26204348   24142206   29236787  13748169  20268568  26284531  27637635
            2048    1024  10192069  20079056  28461804  28844090  23807646  20079056  25888448   22207363   27637635  15154989  27726845  26610232  26944106
            2048    2048   5800851  13489098  25580074  28844090  28844090  19486895  23807646   20079056   24626703  19139540  19893055  24697509  25278959
            4096       4   4485833   9042961   9966244  11539362   8655693   7499487   7983931    8535284    8393502   9222577   8986200  11874344  12117223
            4096       8   7816828  12040791  14787213  17569819  13476460  10895362  12643359   13166611   12958059  12049235  11948672  15999048  17217649
            4096      16   8902382  13340420  21007275  21560926  19683498  14366773  16585996   18883009   18202760  13834587  13980948  21110529  22144551
            4096      32   8497289  17733038  21669709  24101756  24237769  17148903  20074497   23159527   21560926  14165392  14378797  22881911  23967260
            4096      64   9729195  17955442  23412013  24067991  25458986  19050521  21214804   24237769   22521946  15939671  15749706  23670066  23540333
            4096     128   9414629  18616995  20287852  23412013  25764430  19593701  22259318   23128348   23159527  15059417  15396828  23004469  22640669
            4096     256   9989424  19221033  23670066  24237769  27321427  20481345  22610871   23834258   27321427  15692162  16443123  23967260  25458986
            4096     512   9663524  19416544  23702723  23933871  27496338  20778605  23004469   21669709   27496338  16996213  17427236  23412013  24514454
            4096    1024   9773474  19706075  24655179  25271734  28265396  21110529  22030961   23801238   26935898  17733038  19504720  24375326  25764430
            4096    2048   9529517  18358372  24690613  27278046  24797528  20359982  22640669   22116044   25764430  13845736  25123904  22259318  24833373
            4096    4096   7656576   8047509  24977794  28080596  25764430  18536646  19981106   18779801   22259318  17899319  16650294  22760651  24977794
            8192       4   5220412   8315913   9536939  11284706   8234205   7282991   7537004    8677127    8134781   9447779   8242105  11116757  12103589
            8192       8   7148143  10343693  13449061  16155560  12391686  10908526  11174604   14077211   11755738  12031539  10015063  14170099  16616521
            8192      16   8856046  14077211  14684868  21277939  16754263  14498968  15784476   18829258   16886004  14395699  13701116  16927599  19090804
            8192      32   9121717  15137744  19316184  24166268  20940772  17138687  19840411   24031054   21971871  15367944  13318731  21626142  25588019
            8192      64   9481672  11873547  18625125  26014226  20851814  18047922  20738544   24166268   21957830  15251975  14572760  20131019  23140898
            8192     128   9931117  18534703  20381790  23001477  22878950  17925519  19272845   22894195   22563442  14998975  15111114  17541167  23282020
            8192     256   9362822  17694735  19316184  24811956  23001477  19502569  21957830   24598796   22757722  13170677  16254918  18038447  26252742
            8192     512   8790341  16584440  21160006  25120335  23345295  19828962  21437244   24687166   26680840  14597525  16224216  10463389  22940050
            8192    1024   9458182  12879400  20119231  24234447  23203407  18455061  20527913   23683211   27037759  15755524  16027449  20839167  23814529
            8192    2048   9163071  17036712  20589418  25047088  21004779  19283661  17972400   22578268   25212499  16347723  16894307  19283661  23408914
            8192    4096   8000301  15084578  16994579  18162403  14419865  17181538  12563868   18706245   16355505  12527222  24974266  13496606  19783294
            8192    8192   6580049  15111114  14998975  13085407  12280959  16095019  11554130   16285735   11222050  15548759  11889982   9603578  11266205
           16384       4   5582045   8372454  10930746  11368351   6120472   5826249   7724061    8977298    7046846   8316724   6673215  10652851  11924656
           16384       8   6601417  10503059  13872057  15281842   9880862   8283641  10908189   12604902   10252345  10509484   8673628  13640755  15798286
           16384      16   7746700  13137455  14065126  19668946  13945248  11828188  13119898   18473942   14461760  12929819  11803808  17284415  19207157
           16384      32   7692072  13605646  17657478  20606740  16401590  13472278  13849691   21415904   17808483   8208441  11221694  15769284  20557424
           16384      64   8287637  13643463  15214175  15783772  17451210  14434421  14359019   22885089   18061231  13654307  12346725  16737147  19839298
           16384     128   8359214  12749898  17284415  20582053  19742405  15326149  16926789   22984596   13908556  11711273  11864948  15665037  19787884
           16384     256   8307675  11121805  15740388  18224083  17206514  14125842  15100507   22976911   19714086  12859651  12366722  17808483   9863842
           16384     512   7631422  13629933  13769215  19180352  18598941  15312489  17376195   23343754   11102041  12554241  11856759  15241170  18142291
           16384    1024   8316724  13722472  12329004  14590724  14172454  15860271  12182564   21139213   24448319  13266805  12869284  13117393  15922745
           16384    2048   7907146  13409186   9559234  11252933   9887970  14410206   6737331   19185707   19691490  12929819  11735272  10220324  13107385
           16384    4096   6511962  11520824   7013761   8184002   7609451  13440658   6736671   15922745   13967924  13127416   8533606   6213443   8406252
           16384    8192   4805959  10304615   5960159   6485535   4778223  11377762   5080244   11377762    6852209  14868534  16700539   4912813   5803614
           16384   16384   3573406  10503059   5525936   5642083   5031885  11291763   5479669   11645778    5437611  11345828  11138029   4769600   5376771
           32768      64   4104762  11976409  18874295  21502367  16458166  12038301  16424730   24512879   18745580  11720067  11160464  18735359  21499003
           32768     128   7972649  13563760  16165854  23406590  20076373  13814618  18822598   22410452   21573245  12337643  11749122  20727338  22243611
           32768     256   6750835  14057654  20922974  23126947  21613957  14435643  19821575   23742194   22333976  12516290  12346510  20872135  24746806
           32768     512   8402040  12087002  14936085  24693451  22539083  14845737  20818388   24618258   23173740  12830605  12876283  18153808  19773096
           32768    1024   8285541  14701231  15267931  13774466  16565285  14873048  15327526   23142524   19573163   9752419  12871460  13997522  17336317
           32768    2048   8163006  14003227  10088887  11766222  11686185  15045635  10449401   22960811   27699382   9603858  13043701   9437669  11525466
           32768    4096   6601039  12034085   5623569   6839526   7754045  13631022   5240400   17693407   19377233  10988254  10392512   5080395   6773125
           32768    8192   5167692  10996166   5639028   5610026   6230853  12259507   4923690   13123412    7865427  11021739  10042445   4846600   5495402
           32768   16384   4001389   9381622   4686621   4950648   4983679  10204999   4644022    9290932    4957255   8731379  13722206   4521642   4390206
           65536      64   5427349  14158159  22313681  23900752  17490538  13941300  14595696   24973449   20608930  12992410  12617872  22155413  24165503
           65536     128   8612055  13462656  22390018  26520314  22171496  15237298  22337253   24317288   23952819  12521310  13336592  24626652  26682497
           65536     256   9227866  16298907  25480428  27582105  25649238  17035276  24353915   25014356   26119629  14175682  11981006  25062251  27839104
           65536     512   9085729  16869050  22685674  28744483  26574156  16926182  25005254   25186256   27103448  14105847  14396936  25110330  28741477
           65536    1024   9040607  16659463  24184638  27297240  25996118  17471639  24255062   25520644   27148956  14743658  14399953  24015601  27477333
           65536    2048   9418850  16960646  17264242  20938602  20878168  17589027  21374965   26161891   24946252  15135777  14888198  17089289  21381616
           65536    4096   8289240  16955415  11031384  14213064  14375101  17798586  12206593   23306972   29011455  12643990  13097029  10613126  14987231
           65536    8192   6723722  13363824   4734963   6012491   5686955  15894587   5317733   16808192    8236336  11145895  10219343   5003164   6004741
           65536   16384   4414375   9567025   4634455   4892214   4678469  10193572   4387530    9324910    4744853  10789763   9650322   4586434   4776348
          131072      64   4764005  13646051  22672394  24345077  18111594  13513887  17898723   24554941   18974235  12592094  12527247  21274716  23766229
          131072     128   8906850  15555396  24385032  26942467  21936877  15180835  21690208   24517708   23913025  13527853  13444484  24619820  26695202
          131072     256   9470579  16231922  27052508  28863412  25534638  16155601  24641891   26140501   25740276  14136244  13824490  26683541  28505721
          131072     512   9570823  17044680  27272602  29755444  27525217  17053140  26876608   26527744   28013312  14715561  14439972  27238820  29667129
          131072    1024   8949333  17022514  28097785  30132182  27881186  17190180  26668008   26958321   28550133  14941937  14539263  27559713  29823240
          131072    2048   8826483  16412676  27392184  29185193  27318680  16665425  22866660   27024581   27711134  14237655  13807130  27525217  29361328
          131072    4096   9039537  16252075  19548398  25176804  25298455  17595673  16080465   26032809   21772675  14356259  14205280  15294443  25190648
          131072    8192   7400649  15026067   5424500   5874789   5625435  15775003   5238273   17434408    9632704  10891903  10352474   4963719   5736733
          131072   16384   5532812  10038487   4620580   4706216   4765368  10428275   4529406   10825202    5330717  10024575   8673442   4516753   4598704
          262144      64   4875281  12311759  23839818  24270276  17687328    528003  18589220   25213642   18336866  13376085  12935764  23796477  23909284
          262144     128   8839242  15526139  25187073  27103058  22384282  14644962  21949491   24989578   23627218  13781137  13543151  25891083  26735971
          262144     256   9520668  16731311  28343183  29110862  25411185  15550294  26227678   26634936   24800749  14068741  14415324  28346106  28917922
          262144     512   7386668  17139215  27409122  30148546  28081858  16554720  26391357   27585162   28244890  15169484  14613041  28346106  30204035
          262144    1024   9842129  17669421  27184812  30017676  28693037  16859329  28340261   27588623   25996374  15120668  14923443  28297228  30386003
          262144    2048   9499282  17277105  27202298  30315628  29264274  16770868  26463134   27565106   28636988  15399580  14957549  27089703  30124591
          262144    4096   9598127  17783161  18498523  28640718  26670470  16911451  10666709   24966314   24909188  14244628  14806082  17351539  27611486
          262144    8192   8645875  16372791   4923264   5532195   5712822  17004561   4843582   22183761    6910351  11889079  11219986   4963827   5379510
          262144   16384   5744220  11941763   4542820   4779637   4710911  12826959   4494851   11989160    5990883   9886289   9584071   4533399   4710325
