Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:38:52 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4   1780008   5735102   9318832  12902017   7940539   1492919   4897948    6421025    8182586   7100397   4643754   7940539  12902017
              64       8   3958892  10821524  20962191  30484297  15972885  10821524   9006179    9318832   15972885   8182586   7940539  20962191  20962191
              64      16   4274062   1679761  20962191  30484297  20962191   9006179  15972885   15972885   34389688   5389653  12902017  12902017  20962191
              64      32   5389653  15972885  34389688  64000000  34389688  12902017  15972885   15972885   30484297  10821524  34389688  22737791  30484297
              64      64   5735102  20962191  55857768  64000000  64000000  15972885  22737791     939223   12902017    955947  12902017  34389688  34389688
             128       4   4407601   8548124  12842051  14586625   9795896   7476717   7082197    7917784    8548124   8036304   7082197   9795896  11470204
             128       8   3657016  12842051  21643049  21643049  15881078   9795896  12542043   12842051   16365173  12842051   7582312  14200794  18637664
             128      16   3277486   9129573  18637664  25804035  18012359  11720614   4012317   16365173   21643049  14200794   1852520  21643049  25804035
             128      32   6114306  18637664  41924383  31945770  31945770  15881078  18012359   21643049   31945770  18012359  14200794  21643049  31945770
             128      64   4135958  18637664  45475583  41924383  31945770  18637664  18637664   16365173   31945770   3468030  33966926  31945770  31945770
             128     128   4717434  18012359  21643049  41924383  31945770  18012359  18012359   12542043   31945770  18012359  18012359  25804035   2098744
             256       4   4819184   6761355   7735574  12228612   9114515   6249745   7735574    8467615    9114515   4496299   6073004  11091721  12661199
             256       8   4572895  11207494  19591792  19591792  14953435  10148242  14164395   14164395   13454450  10245071  10651598  18259146   6761355
             256      16   6891544  16072608  28401588   7791708  21558614  13454450  21134280   18259146   25084087  14353744   3087188  21558614  28401588
             256      32   6891544  17096249  36024719  32730347  28401588  13454450   1334162   18259146   28401588  14164395  10651598  18259146  25684103
             256      64   6719046  16072608  32730347  31762157  31762157  17096249  23441229   19591792   28401588  15164624  18259146  22940409  25684103
             256     128   6936061  16828306  32730347  31762157  25684103  13454450  28401588   21558614   25684103  12228612  23441229  23441229  25684103
             256     256   5938650  16828306  31762157  31762157  25684103  16072608  25684103   18259146   28401588  16072608  17096249  29173251   8534922
