	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:32:48 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4   1722886   7100397  12310336  15972885   9006179   7100397   9006179    8182586   10821524   8182586   7940539  10821524  15972885
              64       8   3363612  10821524  20962191  20962191  15972885  12902017  12902017   12310336   15972885  10402178  12902017  20962191  15972885
              64      16   2358717  15972885  30484297  64000000  30484297  15972885  15972885   12902017   30484297   7940539  20962191  30484297  64000000
              64      32   3363612  22737791  55857768  55857768  30484297  15972885  30484297   20962191   30484297   9006179  30484297  34389688  64000000
              64      64   2662899  15972885  64000000  64000000  64000000  20962191  30484297   22737791   64000000  20962191  15972885  30484297  55857768
             128       4   2027414   9795896  14586625  14200794   9795896   7582312   9129573    9129573    9795896   9795896   9977956  14200794  15881078
             128       8   4717434  14200794  21643049  20804356  16365173   8036304  15881078   14200794   18012359  12542043   9977956  18012359  21643049
             128      16   5325799  15881078  31945770  31945770  25804035  14200794  21643049   20804356   25804035  18012359  14200794  25804035  31945770
             128      32   5784891   9129573  31945770  31945770  31945770  14200794  25804035   21643049   31945770  11720614  18012359  25804035  41924383
             128      64   6406138  18637664  41924383  45475583  41924383  18012359  25804035   25804035   31945770   9129573  31945770  31945770  41924383
             128     128   4135958  21643049  41924383  31945770  31945770  21643049  31945770   18012359   45475583  18637664  18012359  25804035  25804035
             256       4   3557725  10651598  14953435  15164624   9868433   6107548   9434868    9518507    9868433  10245071   6936061  12812277  13454450
             256       8   6249745  14164395  21134280  21134280  16072608  11695808  15164624   14164395   15835569  13454450  11695808  21558614  23441229
             256      16   6554972  15835569  29173251  31762157  23441229  14353744  19955913   19955913   25684103  14164395  14353744  28401588  28401588
             256      32   7073132  18259146  31762157  37275329  28401588  15164624  25084087   22940409   31762157  16072608  16072608  29173251  37275329
             256      64   6398720  12812277  36024719  37275329  31762157  17096249  28401588    1996523   31762157  21558614  19591792  32730347  31762157
             256     128   7314033  18259146  31762157  37275329  37275329  18259146  23441229   21134280   32730347   9192546  25684103  28401588  31762157
             256     256   3756894  19591792  37275329  36024719  31762157  18259146  28401588   18259146   32730347  18259146  17096249  28401588  37275329
             512       4   2942541  10434519  14240069  14240069   9814569   5951911   9304292    9304292   10044089   9681823   9145790  13109944  14240069
             512       8   6319739   8394979  21303197  21303197  15930214  11080601  15037801   14240069   12499490  12146009   8992598  16543832  19736867
             512      16   6652558  15583417  25624554  28328790  23391616  14240069  18385093   18229030   22183443  13872122   7988981  23391616  28328790
             512      32   6821616  17630404  29906870  32145217  26908901  16543832  23391616   22183443   31671139  14628067  13438092  28328790  26908901
             512      64   7211022  17776344  29906870  30329249  28707488  17069844  24457224   23139567   32145217  17069844  15930214  28328790  25624554
             512     128   6104175  15471149  26908901  21516644  28707488  16543832  18385093   15471149   28328790  16417355  18229030  26908901  22183443
             512     256   7435738  17069844  32145217  14628067  30329249  17069844  29906870   20490142   28328790   8528336  25624554  26908901  32145217
             512     512   3320137   7871843  31671139  34192498  31671139  18229030  28328790   18229030   26908901  18229030  15930214  32145217  32145217
            1024       4   3521025   9381637  13472053  10878686   9743447   7755368   9045736    9220512    9569770   8000971   8326715  12639479  14230902
            1024       8   6529233  12313351  14044758  20970936  15743686  10689164  10039528   12983353   15801608   9655828  11249091  18689559  19363647
            1024      16   6963241  14668318  24998980  26876184  22161202  13643232  20471166   18291580   21823389  13142265  12639479  22748081  26876184
            1024      32   7420395  11903823  29256135  30942298  27744245  16037624  25594883   22748081   27744245  14422045  12790037  27566176  30942298
            1024      64   7208671  15743686  28480139  19629138  28480139  16789959  22748081   19719260   31166834  14871477  14230902  24854315  31166834
            1024     128   7472033  15516181  29256135  26876184  18291580  14618393  21823389   21713061   29256135  15743686  14422045  24430194  30287692
            1024     256   6479979  16037624  24430194  31860428  27744245  14422045  25594883   21388672   29256135  17985196  16037624  24854315  32098538
            1024     512   5751117   8970167  24998980  26219889  24998980  17331995  18291580   20088179   27744245   7472033  24998980  17331995  32098538
            1024    1024   3680961  17056672  32098538  31860428  31860428  17688906  26219889   17056672   25594883  17056672  16037624  25594883  30075602
            2048       4    778087   7529708   9990553  12050878   8866519   7059413   6321679    7999524    9149853   8820994   7670915   7529708  12882215
            2048       8   6298503   9853037  16244028  19531203  14713687  10192069  11320334   13301113   14321195  11072275   9932791  13660713  20658530
            2048      16   6845629  12118884  21325256  26204348  17501701  13467949  17501701   17791701   19355169  12959958  10503637  18804350  26528052
            2048      32   7529708  13660713  23291219  29640323  24416701  15289867  20708333   22498183   26944106  13118295  12488897  24984852  31032362
            2048      64   7318020  16274804  24697509  30160683  25656476  16001943  23228237   23228237   25278959  14321195  13926483  20909969  25656476
            2048     128   6568203  13574363  20909969  22498183  27726845  14202800  19311656   23041317   28844090  12786337  12488897  24984852  29742954
            2048     256   6939647  15399510  25580074  30481763  30160683  14226322  20079056   22736381   30590314  12257227  15181774  25656476  30590314
            2048     512   7643611  15883587  21812621  26944106  21325256  14441580  20658530   22264924   23041317  15623582  14713687  24984852  14638464
            2048    1024   7582884  16001943  31032362  32075249  31487372  17084004  26944106   20268568   28844090   7698414  24416701  26284531  27637635
            2048    2048   4038890  14539356  32075249  33062918  32075249  16653431  24074544   17501701   25278959  16915790  13748169  12710657  26610232
            4096       4   3571100   6737716  10978915  12450933   9729195   6178018   6908408    8272256    8770583   8829180   4676314  11570449  13561566
            4096       8   6468797   9658092  12919082  19888580  15219509   9823772   6131713   13969580   15165768  11042425   9503161  13258059  19050521
            4096      16   5542240  12151506  16585996  22881911  21669709  13476460  15564215   17286949   21007275  12718238  11470025  18862276  20905025
            4096      32   7339297  14072566  20287852  23540333  21346604  15452222  19774121   22881911   24797528  12756011  11696488  16929220  28265396
            4096      64   7542289  12765490  23035315  29227122  28034773  15866068  14118827   22521946   22610871  14224033  12299398  22116044  29681582
            4096     128   7289472  13207098  20803766  26276719  29078712  15341830  18202760   22144551   28452645  14636041  10118866  20803766  24690613
            4096     256   7625987  12194633  23004469  28265396  29078712  16506317  23540333   23128348   30799020  14851127  12049235  16119138  27148727
            4096     512   7434579  14475721  14838300  24514454  29276929  14838300  21007275   21779595   25572675  13647752  13217259  21453230  22881911
            4096    1024   6944712  15059417  10065509  17569819  26276719  16585996  20168765   19504720   30799020  15578328  16569998  21453230  27278046
            4096    2048   7173805  15396828  25458986  26438471  26602226  16780400  25271734   18800352   28034773  13476460  22730536  21533901  23412013
            4096    4096   6714018  12606249  30309979  27321427  32003887  16458876  21918530   15999048   23285086  17131802   5438722  23670066  30309979
            8192       4   5171695   8401313  12427541  12679779   6569983   6901200   7193036    9023500    8315913   7908233   7939297  11943711  12082308
            8192       8   6239504   9893942  16285735  17172951  11683783   8291831   9603578   13565880   14199379  11408351   9916786  17434361  19558075
            8192      16   7044097   6287458  17694735  18200887  15513658  10278712  14123502   13150514   18655463  13170677  11412140  20273556  23016885
            8192      32   7166033  11203754  19458391  19647544  24528554  11348065  15576956   21397195   24098471  12679779  10707952  10190307  24371967
            8192      64   7205103  11344319  15058135  19602708  15306330  13065504  18162403   22757722   16961023  12373836   9695717  16894307  22387028
            8192     128   7099404  12600728  19932489  26073448  25607089  15031784  19143987   22445525   22141778  13695655  11116757  19006322  18736847
            8192     256   7281448  10088578  18327093  23203407  28237654  12450057  18880992   22256517   26701574  14002632  10569606  20131019  24740493
            8192     512   7217210  11771848  19048469  26495671  22198999  15457823  18124082   22622866   23814529  12642455  10625170  19591530  26093248
            8192    1024   7179509  10836280  11145606  20839167  25361377  13816816  16520648   23140898   26598224  10076743  11457807  18085922  21383878
            8192    2048   6930432   9547539  16894307  20953542  16193630  14199379  10721317   19886343   26680840  13231539  11314434  15340499  14735249
            8192    4096   6214676   8047143   8532752  16324422  13695655  10836280  11269901   14653554   13789092   7591960  13679297   9638600  14100319
            8192    8192   3241850   9319649   8208631  10368664  10891237  10447482   6831225   11329356    8054689   9102385  10241945   9812005  12065338
           16384       4   4662486   7272051   6566722  11053824   6262707   5355819   6728097    7727536    6624965   7195149   6978151   9193480  11190628
           16384       8   6127020   8493527  12524496  14461760   9102151   7713657   7631422   13084923   10026469   8715430   7926299  12476743  14734635
           16384      16   6775862   8316724  13643463  15530507  10270732   8106765   9935146   17924611   12672310   9514235   8551659   7972276  16960210
           16384      32   6995911   9718761  12384552  15845643  14320120   9995842  11130813   22140392   15170513   9304262   6823632  13758188  16993763
           16384      64   6954141   8709907  10298438  15845643  15384478  10583941  11830224   20787512   15326149  10376187   6527426   7236824  15783772
           16384     128   6904533   8291637  13417040  15604566  15874927  10667735  14320120   21197901    9198402   9638337   8682395  12971309  16397676
           16384     256   6896218   6831772  12941994  15874927  16910128  11637889  13406570   22197606   14920185  10234023   8756521  12700414  15100507
           16384     512   5845080  10316991  13562682  15783772  15295448  10944673   9017350   17341116   16335310   9764332   8480948  14013499  15183921
           16384    1024   6758535   5864034  14640460  17137857  18204771  10793399  11321528   19005301   19207157   8392905   8086731  12254254  15502478
           16384    2048   5614884  10530420  12660636  14643580  14486149  10469456  13331147   18042263   27812578  10722665  10144884  12891011  13827397
           16384    4096   6104162  10156880  12020607  13733442  13172711  11440269   7617042   15526998   16839683  11409877  10793399   6869333  10793399
           16384    8192   4295824   9530069   6561079   8406252   7857420  10930746   4659956   12602590    7922644   9649164  15860271   5744908   6750568
           16384   16384   2899824   9178744   4936458   4268872   5173176   9026826   4786543    9245428    4837081   8546342   8934115   4335666   5074242
           32768      64   3968461  10227021  15296819  19377233  16294264  10614845  13541042   20584536   14178018   9999337   9391880  15163492  18952376
           32768     128   6255811   9993521  14141547  13256320  17486304  10107436  12626679   22553878   12660410   9475408   9071994  14551803  15397932
           32768     256   6255811   9332570  10307556  11937920   9539200   4007339  13473342   18853582   13974750   7435641   9059436  16450287  19320031
           32768     512   6808018   7938113  12925934  12286906  17720783  10778844  13358105   20188436   17109707   9752419   9124998  14934462  17513042
           32768    1024   6003587   9660563  14346737  18671726  17255782  10304465  15553012   22428738   18735359   9735149   8928778  15693309  18863933
           32768    2048   6833745   9319913  10141744  14422010  14340749   9014869   9094806   15413474   22535388   7357228   7187550   8887208   8703732
           32768    4096   6213107   9077387   8012155  11203222  12962507   9914223   8730825   20289769   25719302   9584436   8560078   8147521  12916216
           32768    8192   5199756   8308080   5386846   6428747   5688744   7971262   4935005   13895627    9128028   9671439   8982465   4793355   5239600
           32768   16384   3659592   6717510   4174201   4235823   4404275   6742225   4058459    8141247    3750878   7353685  11228850   4089373   4515402
           65536      64   4661886   9703123  15416764  17760635  13852076   8457311  14592596   20195564   12715347   8179720   7485413  15945298  18029739
           65536     128   6778605   9350286  14432464  17268580  14234409   9521293  14422619   21445004   14356332   8956651   8373070  15438410  16912643
           65536     256   6547704  10439007  16404935  19174221  16587082  10482398  17274006   22036410   16718231  10036140   9443443  16331832  18629720
           65536     512   6820316   9369089  15305171  17784767  14993771   9663213  15114138   22762697   16942874   9276135   8653808  14753946  17314265
           65536    1024   6971853  10439007  15716464  18503062  17892428  10803757  14837568   21593252   17142577   9950761   9500561  15376231  17808964
           65536    2048   7043851   9343612  14054639  16524263  15408985  10314056  13120159   21999374   14637667   9244625   8655171  13493055  16035528
           65536    4096   6734099  10509250   8543265  13440275  12810159  10748836   9758237   17295744   16118273   9952202   9054603   8207563  12972176
           65536    8192   5781328   8747441   5080283   5313826   5552549   9712037   4471609   17425121   10973693   8644827   7819515   4317308   4957327
           65536   16384   4131588   7959215   4437106   4640401   4622375   8630984   4152058    8734655    4536627   9160824   8649179   4336652   4338158
          131072      64   3371105   6221363  18463171  19604165  14037702   4234401  15953537   19974555   14273141   6229329   5830861  15594668  19007035
          131072     128   4105755   6050194  14526585  18870030  15889444   5696549  17239774   21306047   16435246   4633119   5726217  15801301  19134716
          131072     256   4764005   5573988  18051529  19478443  17200937   6189354  16722709   21604118   17271187   5169073   4957900  17789259  18974235
          131072     512   3975015   6413180  17160667  17910385  16797820   6800474  16836403   22371618   16762991   4993612   5321223  17035701  18398908
          131072    1024   4238776   6010309  18285693  19045226  18541632   7049886  17631225   22306262   17786957   4896999   5748791  18227490  18913526
          131072    2048   4511009   6744493  16740022  18721588  18424189   6415650  17162810   22374350   17935511   5686650   5161502  16459850  18066359
          131072    4096   3819106   6300362  11158973  15799031  10332045   6899216  12985292   20598741   11663231   4663460   4482942  12233704  15924424
          131072    8192   3571354   4948350   4784154   5190939   5193244   5269201   4638553   19045886   15203505   4889682   4620270   4692038   5283887
          131072   16384   2648445   4854878   4325659   4610815   4635971   5181545   4317268   10894493    4883254   5190351   4763138   4256136   4459017
          262144      64   2340632   3145318  19812874  19865496  15222408   3276228  17384461   22075086   16027444   2483033   4640056  20075508  20235117
          262144     128   3271763   4656189  19521952  21415106  18493544   3898980  19153984   22065783   19233056   3745443   4098238  20581315  21668325
          262144     256   3416130   4357455  21536752  21808867  21026863   4406810  21834419   22511690   19261020   4263956   4535044  21949929  22704138
          262144     512   3329232   3856760  22069769  22733713  22058700   3912994  21538439   22852785   21848737   4081837   3661989  22019824  22842815
          262144    1024   3306764   1288335   5471355  14604113  18403776   3460600  14683490   23003391   20540943   2678653   2348140  21896164  17188515
