	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:59:19 2025

	Auto Mode
	Command line used: iozone -a -b -f /shared/test
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4   1734015   5735102  15972885  12310336  10821524   7940539   9006179    9006179   10821524   9006179  10402178  10821524  15972885
              64       8   1722886  15972885  34389688  30484297  15972885  12902017  15972885   15972885   22737791  15972885  12902017  15972885  20962191
              64      16   3057153  12310336  64000000  30484297  30484297  15972885  20962191   22737791   30484297  15972885  15972885  34389688  34389688
              64      32   4564786  20962191  64000000  64000000  55857768  12902017  22737791   15972885   34389688  10402178  34389688  55857768  64000000
              64      64   1768283  30484297  64000000  55857768  64000000  22737791  30484297   20962191   34389688  20962191  22737791  64000000  64000000
             128       4   1391557   8036304  14200794  14200794   9129573   7476717   5603747    8414153    9977956   8548124   9977956  15881078  14200794
             128       8   5122535  14200794  20804356   4557257  15881078   8548124  14200794   12842051   18012359  12842051  14200794  18012359  25804035
             128      16   5784891  15881078  25804035  31945770  25804035  14200794  25804035   21643049   31945770  18012359  15881078  24620673  31945770
             128      32   6406138  18637664  41924383  41924383  31945770  18012359  25804035   25804035   45475583  21643049  18637664  31945770  45475583
             128      64   6727225  18012359  41924383  41924383  31945770  18012359  31945770   21643049   41924383  10779307  25804035  31945770  41924383
             128     128   3277486  18637664  31945770  31945770  41924383  21643049  31945770   18637664    5325799  18637664  16365173  31945770  45475583
             256       4   4929815   8534922  14164395  14953435  10245071   4929815   8815202    9518507    9868433   9868433   5217259  13454450  13454450
             256       8   4496299  13454450  21134280  22940409  16072608  11207494  14353744   13454450   14953435  10651598  11207494  21134280  21134280
             256      16   6398720  16072608  28401588  28401588  25684103  14164395  19591792   18259146   25684103  15164624  14164395  25684103  29173251
             256      32   6107548  18259146  28401588  31762157  28401588  15835569  25684103   23441229   31762157  16072608   9434868  28401588  31762157
             256      64   5810112  12228612  37275329  36024719  29173251  17096249  25084087   19955913   31762157  18575017   6073004  28401588  31762157
             256     128   4734192  18259146  31762157  31762157  31762157  16828306  28401588    7518900   29173251   9778562  28401588  25084087  31762157
             256     256   4496299  18259146  32730347  36024719  31762157  16072608  31762157   19955913   28401588  18259146  15835569  25684103  36024719
             512       4   4099771  10044089  14628067  14628067   6821616   7758090   9468384    9304292    9638369   9468384   9304292  11620224  14240069
             512       8   6491676  13109944  21303197  20490142  16049269  10911694  15037801   14240069   15471149  11943357  12146009  20490142  22414989
             512      16   6319739  15471149  26908901  26908901  23391616  13438092  15037801   17630404   15471149  12499490   8992598  20490142  20490142
             512      32   7435738  16543832  29906870  34192498  28707488   9304292  25624554   22183443   32145217  14628067  14240069  26908901  28328790
             512      64   7211022  17069844  29906870  32145217   4494470  15930214  28328790   23391616   34192498  15037801  12797441  25624554  28707488
             512     128   7410080  14628067  13872122  32145217  29906870  16417355   8844453   21303197   26908901  16543832  17776344  28328790  32145217
             512     256   7871843  15037801  32145217  31671139  32145217  17069844  28328790    3556580   29906870  10235583  24457224  26908901  28707488
             512     512   4262523  18229030  32145217  32145217  32145217  17630404  32145217   18385093   29906870  15037801  18229030  26908901  34192498
            1024       4   1729884   8262639   9946527  10990032   6093831   5564829   7269678    9220512    9485232   8457895   6733974  11249091   6599461
            1024       8   5564829  10429596  12492426  16789959  12492426   9402175   8262639   11741116   11903823   8750850   7113161  12639479  20471166
            1024      16   7306780  13818817  14044758  22276143  18608584  11018226  15516181   18689559   21388672  12639479  11132462  21388672  15743686
            1024      32   7101400  14618393  25594883  26380939  26219889  15080341  21713061   22276143   26219889  13305116  12828238  23240448  21282686
            1024      64   6441107   8199542  16531459  24998980  25594883  14422045  17688906   20471166   24854315  12639479  11773301  20869039  26380939
            1024     128   6519323  14044758  23754601  24430194  26380939  15295157  26219889   21388672   27045423  14422045  14230902  24430194  28480139
            1024     256   7269678  15295157  15977962  28480139  27744245  15240881  27744245   14044758   27744245  15977962  16789959  22748081  28480139
            1024     512   6918376  16468073  30075602  29256135  30075602  13643232  28292530   19719260   27566176   5885083  16219316  23886714  32098538
            1024    1024   2155236  13998981  32098538  33087664  30942298  16531459  20869039   17331995   24854315  16219316  15080341  21823389  32098538
            2048       4   1923059   6568203   8713618  12959958   9841749   7556202   7419150    9268323    8940345   8749118   7582884   9101380  12416686
            2048       8   5884299   9932791  14638464  18284015  12882215  10555264  11835033   12635867   12118884  10607402   6823876  14417342  19139540
            2048      16   6284678  11380325   7444871  25353571  19355169  12805399  17791701   14040298   21115571  10607402  11260973  20658530  23807646
            2048      32   4500161  14321195  17221003  18641120  24416701  13574363  16001943   19893055   20708333  10945301  11706006  23546602  27373418
            2048      64   6802261  14840791  23546602  26944106  25888448  12416686  18284015   22736381   22796721  14226322  13836752  22498183  29236787
            2048     128   7636816  15262700  24697509  28461804  28844090  13926483  22736381   20658530   26610232  11517657  10084382  20461691  26610232
            2048     256   7065219  13552946  20909969  26944106  27286464  13038646  17501701   20658530   27637635  14417342  13404897  21325256  28844090
            2048     512   6802261  12561952  25278959  26284531  29236787  14638464  19893055   20909969   27286464  16367837  15510737  22264924  26204348
            2048    1024   4276140  16001943  23041317  25966707  28089517  16525279  18763275   15623582   25278959   6498636  22264924  24074544  28367810
            2048    2048   4231899  15623582  22264924  31955924  31487372  16001943  24416701   16244028   27373418  17501701  16525279  10673302  29236787
            4096       4   3609363   6243125  11907264  11940367   8712759   5942934   7408930    8108279    8209013   8340529   6967243  10184853  12919082
            4096       8   6311938  10112910  14072566  16650294  14072566  10425907  10166771   12569357   12958059  10923071   9348033  15635038  18358372
            4096      16   7185807  13247835  14941541  18616995  16929220  11768599  13561566   17131802   16912554  11866142  10779149  15807673  20384139
            4096      32   6930704  14318876  20168765  27496338  25458986  14318876  18862276   21453230   18718416  12532680  11539362  20263922  27496338
            4096      64   7123239  13845736  22002745  20579482  25919917  15287223  18966395   20287852   21007275  13086376  11042425   9202815  19706075
            4096     128   7473388   9348033  19135397  26077293  25123904  13604523  21890602   21453230   26768022  13702178   9943171  22144551  27105892
            4096     256   6682678  12718238  24690613  28080596  26935898  15112405  24690613   20192470   29078712  13518879  13790167  25308964  26935898
            4096     512   6953144   8717180  15880734  26077293  24375326  16119138  24101756   17356809   25271734  14072566  14366773  25123904  23670066
            4096    1024   6714018  15341830  23967260  27321427  24833373  15939671  24237769   18516667   29681582  15999048  16996213  16522191  24101756
            4096    2048   7249484  15341830  18616995  28642390  25610798  16585996  23702723   18378010   28452645   8497289  23540333  12299398  20263922
